ID,sex,x,y,ws,dir,lod
30,M,-44.19594657,-48.14229285,11.83945408,112.064896,D
30,M,-44.19556574,-48.13695688,11.83945408,8.72984639,D
30,M,-44.1853261,-48.13893077,11.83945408,28.60360391,D
30,M,-44.17017496,-48.13825554,11.8698264,35.01377184,D
30,M,-44.15175178,-48.13581112,11.8698264,40.88569251,D
30,M,-44.13479964,-48.13232372,11.40901962,46.54995156,D
30,M,-44.11900438,-48.12785839,10.94743954,52.50127911,D
30,M,-44.10222364,-48.12220014,10.874191,56.09041024,D
30,M,-44.08639889,-48.11608407,10.874191,58.97420645,D
30,M,-44.07230826,-48.10998504,10.874191,65.38157022,D
30,M,-44.06106625,-48.10382607,10.70153017,70.18123898,D
30,M,-44.05049948,-48.0972571,10.70153017,74.52415986,D
30,M,-44.04112,-48.09047,10.37247009,80.01175988,D
30,M,-44.03340657,-48.08397003,10.37247009,84.40394442,D
30,M,-44.02694989,-48.07757878,10.37247009,91.55390144,D
30,M,-44.0220532,-48.07112337,9.772916085,122.930128,D
30,M,-44.02274336,-48.05426072,9.772916085,159.9203913,D
30,M,-44.07025991,-48.01425901,9.568852208,149.3594092,D
30,M,-44.17222453,-48.00954886,9.568852208,139.6160411,L
30,M,-44.20413981,-47.92991308,9.576468772,109.1503251,L
30,M,-44.32465026,-47.98003021,9.576468772,81.51673175,L
30,M,-44.45279354,-48.12526031,9.576468772,109.3094044,L
30,M,-44.48833923,-48.13991845,9.094035539,101.4435106,L
30,M,-44.51377073,-48.152602,9.094035539,6.978371292,L
30,M,-44.50886585,-48.1563548,8.036064929,85.66781288,L
30,M,-44.49029229,-48.14785951,8.036064929,88.6061076,L
30,M,-44.47212147,-48.13859788,8.187531412,48.89750456,L
30,M,-44.4728412,-48.1420903,8.563039224,54.89702065,L
30,M,-44.43018,-48.14187,8.563039224,145.313459,L
30,M,-44.46721413,-48.13294643,9.029759154,41.7902708,L
30,M,-44.40778441,-48.14281641,9.029759154,14.16898481,L
30,M,-44.40185919,-48.14633417,9.572385108,9.080372136,L
30,M,-44.39528525,-48.15116848,9.572385108,129.2047621,L
30,M,-44.3909504,-48.14200885,9.572385108,1.819840382,L
